mmsi,imo,valid_from
200001140,,2014-07-27
200001140,9090888,2014-05-31
204708000,9164548,2015-04-07
224124000,9238703,2012-05-25
224124000,9238703,2014-05-31
224434000,8817801,2014-12-04
244542000,8810786,2015-04-07
244790145,9085479,2015-04-07
244790145,9085479,2015-01-22
244820009,9120205,2015-04-09
245409000,9127982,2015-04-07
245409000,9127982,2015-04-09
245409000,9127982,2015-01-22
245973000,9135822,2015-04-07
249842000,8518807,2014-07-24
255802850,9150470,2015-04-07
273332290,9076272,2014-01-17
273351170,8320834,2014-12-16
273353640,8603171,2014-09-12
273358510,8216198,2015-01-12
273382550,8812801,2015-01-07
273385860,8502432,2015-01-07
273421470,7723065,2013-01-22
277099000,,2014-05-31
277247000,8818893,2014-05-31
277312000,8806242,2015-03-16
277312000,8806242,2014-05-31
277327000,,2014-05-31
277331000,,2014-05-31
277348000,9047257,2015-03-16
277397000,9047269,2015-03-16
306497000,8514784,2015-01-07
306497000,8514784,2014-05-31
306509000,8812796,2015-01-07
306752000,8813635,2015-01-07
306796000,8917211,2015-01-07
306862000,8807636,2013-03-14
306872000,9120217,2015-01-09
312097000,7507033,2013-01-16
312377000,8217104,2014-07-25
312387000,8223816,2014-05-31
312413000,9677595,2014-10-22
312534000,7816472,2014-09-02
312774000,8908739,2015-01-08
312774000,9158238,2014-09-23
312820000,,2014-07-25
312862000,8215936,2015-02-26
312887000,8800236,2015-04-29
312932000,,2014-11-05
334632000,5243700,2014-05-31
341703000,,2014-05-31
341838000,8210259,2015-04-07
351350000,9126261,2015-03-18
351370000,8612304,2014-05-31
351478000,8908076,2015-04-28
351574000,,2013-03-14
351574000,9395862,2012-08-02
351747000,9196357,2015-03-23
351747000,9196357,2015-04-07
352055000,9057393,2014-05-31
352085000,8518819,2015-04-24
352135000,7302299,2015-04-15
352241000,9314612,2015-04-28
352247000,8904070,2015-04-01
352313000,9003146,2014-05-31
352349000,9073385,2015-03-23
352351000,9072824,2015-04-28
352351000,9072824,2015-04-24
352367000,8860432,2014-05-31
352475000,8908234,2014-12-11
352515000,8324244,2015-01-07
352533000,8122385,2015-05-08
352545000,7710276,2015-05-11
352545000,7710276,2015-05-11
352715000,9642174,2014-05-31
352784000,9078282,2015-04-28
352796000,8810645,2015-03-18
352797000,8319562,2014-05-31
352844000,8512920,2015-03-27
352894000,9278612,2014-12-07
353019000,8502432,2014-12-11
353185000,9145920,2014-12-03
353185000,9145920,2014-09-18
353242000,8517815,2015-01-07
353242000,8517815,2014-05-31
353242000,8517815,2015-01-17
353306000,9184536,2015-01-07
353306000,9184536,2014-12-18
353318000,,2015-04-29
353709000,7120809,2014-05-31
353937000,8204121,2014-12-18
353981000,9081679,2015-01-07
353981000,9081679,2014-12-18
353982000,,2014-05-31
354036000,7812098,2014-05-26
354062000,8800236,2015-01-08
354240000,9017276,2015-04-28
354408000,9081667,2014-05-31
354469000,8710209,2015-05-14
354493000,9105358,2014-09-18
354569000,,2014-05-31
354655000,9011301,2012-08-10
354670000,8221974,2012-08-10
354670000,8221947,2012-08-02
354670000,,2014-05-31
354683000,9109287,2014-08-20
354716000,8710132,2015-05-13
354831000,7311460,2014-05-31
354871000,8801814,2015-04-28
354874000,8615784,2014-08-20
355069000,7637591,2014-05-31
355116000,9021277,2015-05-14
355141000,8323599,2014-05-31
355199000,9142289,2013-09-11
355295000,9174701,2013-03-14
355317000,8301723,2015-05-07
355357000,6400563,2014-05-31
355513000,9016076,2015-05-11
355643000,8317423,2015-05-11
355665576,8011029,2014-05-31
355690000,9081631,2014-05-31
355720000,8813582,2012-12-17
355720000,8813582,2014-07-25
355758000,7312634,2014-05-31
355802000,9015838,2014-12-18
355813000,8021892,2014-12-26
355855000,7625500,2015-05-11
355855000,7625500,2014-05-31
355874000,8221595,2014-07-17
355966000,9126261,2014-10-19
356065000,9109263,2015-04-07
356065000,9109263,2012-08-02
356065000,9109263,2015-04-07
356386000,9000376,2014-11-24
356407000,9604172,2015-04-22
356514000,9035084,2015-05-13
356517000,9172698,2015-01-07
356517000,9172698,2015-01-07
356567000,9010785,2014-05-31
356591000,7810571,2015-01-14
356609000,8908193,2015-04-28
356609000,8908193,2015-04-27
356636000,,2015-01-12
356655000,9120205,2015-02-13
356728000,9035072,2015-04-28
356889000,9136890,2014-07-18
356962000,9017264,2015-04-28
357020000,8420763,2015-04-27
357058000,9227601,2015-01-08
357203000,8500446,2009-06-17
357203000,8500446,2014-05-31
357370000,8845717,2014-05-31
357497000,8804244,2015-04-07
357600000,7237810,2014-05-31
357642000,,2014-05-31
357735000,9184548,2015-01-07
357735000,9184548,2014-12-11
357788000,8808252,2015-01-16
357805000,8521830,2015-01-20
370070000,8913992,2014-07-09
370115000,9045156,2015-03-23
370115000,9045156,2015-04-24
370333000,7047459,2014-05-31
370599000,9666481,2015-04-29
370981000,8223488,2015-03-23
371129000,,2014-05-31
371156000,9041540,2014-09-23
371295000,,2014-05-31
371301000,8319093,2013-03-14
371301000,8319093,2014-05-31
371322000,8814237,2015-04-07
371335000,8317356,2015-05-15
371542000,,2015-01-08
371790000,8421286,2014-05-31
371812000,8807662,2015-04-28
372594000,8319055,2014-07-17
372886000,8976841,2014-05-31
372910000,8613920,2015-05-15
373056000,8324244,2014-05-31
373443000,8911487,2015-01-07
373443000,8911487,2015-01-20
373731000,8807466,2014-12-22
374244000,9293313,2012-08-10
374610000,9016961,2015-01-08
374610000,9016961,2015-02-26
374611000,8028955,2010-09-27
374723000,9161613,2013-04-02
374762000,9453418,2014-12-07
412202350,8810657,2010-11-15
412202350,8810657,2014-10-31
412202816,7413050,2014-05-31
412203740,9005625,2010-11-15
412203740,9005625,2014-11-13
412208610,8319598,2014-05-31
412322280,8217116,2014-05-31
412322340,8210273,2015-02-18
412326020,8310267,2010-11-15
412326020,,2014-05-31
412551380,,2014-05-31
412553010,,2014-05-31
412946000,8317409,2015-04-15
413202880,,2014-05-31
413554170,,2014-05-31
413692650,,2014-07-27
413692650,,2014-05-31
416001900,7900663,2014-09-04
416064900,,2014-05-31
416110700,,2014-05-31
416308000,7930175,2014-06-06
416521000,,2014-12-25
416542000,8680442,2014-08-04
416567000,7305722,2014-08-04
416602000,7323396,2011-03-22
416602000,7323396,2014-08-04
416696000,6811932,2014-08-04
416702000,7920869,2014-05-31
416730000,7234210,2014-08-14
416778000,7332713,2014-08-04
416788000,6908113,2014-06-06
416861000,,2014-10-05
422733000,7917458,2014-01-16
431201000,8710728,2013-04-04
431201000,8710728,2014-03-07
431678000,9086758,2014-12-02
431678000,9086758,2014-05-31
440046000,9021277,2011-01-27
440046000,9021277,2015-04-15
440057000,8904068,2015-02-09
440097000,8813623,2014-09-12
440101000,8911607,2014-09-12
440102000,8815023,2015-01-21
440102000,8815023,2014-09-12
440113000,9087910,2014-09-12
440116000,8603121,2015-04-06
440196000,8702630,2014-09-11
440214000,8807430,2014-09-11
440217000,9163439,2014-04-14
440217000,9163439,2014-09-11
440220000,8520496,2014-04-14
440220000,8520496,2014-09-11
440222000,9004657,2014-09-12
440237000,9194919,2014-04-29
440283000,9172909,2015-03-26
440283000,9172909,2015-02-11
440523000,8204597,2015-04-01
440664000,8815009,2012-06-13
440664000,8815009,2013-09-13
440664000,8815009,2014-09-12
441032000,8808161,2012-11-16
441032000,8808161,2015-01-27
441034000,8513871,2015-04-01
441240000,8712398,2010-01-28
441240000,8712398,2014-09-12
441377000,9015840,2015-04-01
441690000,9209245,2014-09-12
441720000,9020780,2013-08-05
441720000,9020780,2014-12-16
441720000,9020780,2015-04-01
441725000,,2014-09-12
441822000,9105360,2015-04-01
441834000,8513039,2014-12-22
441923000,8319029,2014-09-12
477415100,9020819,2011-06-01
510021000,,2014-05-31
510182000,8819691,2012-12-14
514211000,8649151,2014-05-31
514565000,8848965,2014-05-31
515500000,7931674,2014-05-31
515557000,,2014-05-31
515717000,8426975,2014-05-31
518332000,8503242,2014-06-11
528565426,8891302,2015-01-05
529051000,7815351,2014-05-31
529052000,,2014-05-31
529069000,,2014-05-31
529086000,9262182,2010-01-28
529086000,9262182,2014-05-31
529087000,8028955,2015-04-13
529089000,9220653,2012-06-04
529089000,9220653,2014-05-31
529092000,,2014-05-31
529096000,7908976,2015-03-12
529101000,7908732,2014-09-22
529101000,,2015-03-10
529105000,7927453,2015-01-06
529161000,8024935,2014-05-31
529199000,,2014-05-31
529268000,7929762,2014-06-09
529354000,8421298,2013-03-14
529382000,8914221,2015-04-29
529465000,8904070,2014-05-31
529485000,9087908,2015-01-05
529523000,9009695,2015-03-18
529529000,7812074,2015-01-05
529567000,9003756,2015-04-15
529578000,9161613,2015-04-15
529605000,,2015-03-03
529607000,9586332,2015-01-05
529608000,9441960,2015-01-05
529615000,9011911,2015-01-05
529623000,9109500,2013-03-14
529650006,7812062,2014-08-06
529730000,8906808,2015-01-05
529844000,9044358,2015-01-08
538002960,9170963,2012-08-10
538002960,9170963,2013-09-11
538002960,9170963,2015-04-20
538002997,8911607,2014-05-31
542156110,8627309,2014-08-26
548352100,8217142,2014-05-31
548906000,9076246,2014-12-04
563418000,9666508,2013-08-16
567011500,7727114,2014-05-31
567046600,7804900,2015-04-20
567175000,7727102,2014-05-31
567183000,7727097,2014-05-31
567231000,7637589,2015-05-06
567266000,7637565,2015-05-07
567492000,7721067,2013-08-26
567492000,7721067,2015-04-23
576270000,9293313,2015-02-04
576274000,8920024,2014-05-31
576276000,9140281,2010-03-30
576276000,9140281,2014-11-12
576277000,9186936,2010-04-12
576277000,9186936,2015-02-05
576285000,9003158,2014-12-03
576285000,9003158,2014-11-12
576328000,9620384,2014-12-03
576328000,9620384,2011-10-04
576328000,9620384,2014-11-12
576397000,8909680,2010-06-11
576397000,8909680,2014-11-19
576414000,9128764,2014-12-02
576414000,9128764,2014-11-12
576419000,9071583,2014-11-12
576420000,9140097,2014-12-03
576420000,9140097,2014-11-12
576626000,9054858,2014-05-31
576687000,9105293,2014-12-03
576687000,9105293,2014-11-12
576688000,8807442,2015-05-12
576689000,8916748,2015-05-12
576711000,8710340,2015-05-12
576728000,9048603,2015-04-07
576728000,9048603,2013-08-12
576728000,9048603,2014-11-12
576732000,9194892,2014-12-03
576732000,9194892,2014-11-12
577077000,9459591,2014-11-13
577082000,8223311,2014-03-05
577082000,8223311,2014-05-31
577102000,9241932,2014-12-03
577102000,9241932,2014-11-12
577105000,9133305,2013-06-21
577105000,9133305,2014-11-12
577106000,9133317,2014-12-07
577106000,9133317,2014-11-12
577132000,9666493,2013-02-20
577132000,9666493,2014-05-31
577161000,9684067,2014-05-07
577161000,9684067,2014-11-12
577310000,9172442,2013-09-11
577314000,8919893,2015-02-17
577315000,8609979,2015-02-23
627047000,8323604,2015-02-20
627084000,9140102,2015-02-20
636009737,9014793,2015-04-30
636012261,8801802,2015-04-30
636014471,9016973,2015-04-30
636016700,9004401,2015-04-30
636017161,9071583,2014-12-03
636017251,9163403,2015-01-12
636017396,9459591,2014-12-02
636017468,9128764,2010-06-11
636091098,9014444,2015-04-30
664090000,8909680,2014-12-02
667003355,,2014-05-31
667401200,,2014-05-31
370599000,9666481,2014-12-16
510182000,8819691,2014-05-31
576274000,8920024,2012-08-10
431003624,9666481,2014-12-16
548050500,8920024,2014-05-31